nombre;regionGeografica
Estados Unidos;AMERICA_NORTE
Canadá;AMERICA_NORTE
México;AMERICA_NORTE
Brasil;AMERICA_SUR
Argentina;AMERICA_SUR
Chile;AMERICA_SUR
Reino Unido;EUROPA_OCCIDENTAL
Francia;EUROPA_OCCIDENTAL
Alemania;EUROPA_OCCIDENTAL
España;EUROPA_OCCIDENTAL
Italia;EUROPA_OCCIDENTAL
Países Bajos;EUROPA_OCCIDENTAL
Suiza;EUROPA_OCCIDENTAL
Noruega;EUROPA_OCCIDENTAL
Suecia;EUROPA_OCCIDENTAL
Rusia;EUROPA_ORIENTAL
Polonia;EUROPA_ORIENTAL
Ucrania;EUROPA_ORIENTAL
China;ASIA_PACIFICO
Japón;ASIA_PACIFICO
Corea del Sur;ASIA_PACIFICO
Hong Kong;ASIA_PACIFICO
India;ASIA_PACIFICO
Australia;ASIA_PACIFICO
Arabia Saudí;MEDIO_ORIENTE
Emiratos Árabes Unidos;MEDIO_ORIENTE
Israel;MEDIO_ORIENTE
Turquía;MEDIO_ORIENTE
Sudáfrica;AFRICA
Nigeria;AFRICA